Timestamp,TEMP,HUMI,IRRAD,WIND_DIR,WIND,RAIN,WIND_MAX,VOLTAGE
2024-11-01 00:00:00,14.14,81.49,0.0,125.21,0.02,0.0,0.29,12.89
2024-11-01 01:00:00,13.75,83.39,0.0,99.3,0.02,0.0,0.26,12.89
2024-11-01 02:00:00,13.28,85.55,0.0,65.98,0.11,0.0,0.5,12.89
2024-11-01 03:00:00,13.68,84.43,0.0,118.27,0.07,0.0,0.6,12.89
2024-11-01 04:00:00,13.66,84.76,0.0,56.25,0.12,0.0,0.74,12.89
2024-11-01 05:00:00,13.94,84.4,0.0,122.28,0.03,0.0,0.34,12.89
2024-11-01 06:00:00,14.27,84.41,0.0,164.77,0.1,0.0,0.63,12.89
2024-11-01 07:00:00,14.18,88.11,6.42,54.1,0.03,0.0,0.38,12.89
2024-11-01 08:00:00,14.66,89.1,27.37,68.63,0.05,0.0,0.4,12.9
2024-11-01 09:00:00,15.18,88.25,37.89,105.0,0.26,0.0,0.91,13.06
2024-11-01 10:00:00,15.77,83.69,56.81,136.95,0.3,0.0,1.03,13.15
2024-11-01 11:00:00,15.34,86.52,53.46,172.72,0.14,0.01,0.76,13.16
2024-11-01 12:00:00,14.82,91.56,47.14,179.43,0.17,0.03,0.75,13.16
2024-11-01 13:00:00,14.57,91.1,85.23,140.65,0.29,0.0,1.01,13.49
2024-11-01 14:00:00,14.47,90.54,56.66,102.12,0.23,0.0,0.86,13.32
2024-11-01 15:00:00,14.77,92.08,30.18,184.32,0.1,0.0,0.76,13.16
2024-11-01 16:00:00,14.64,92.3,14.15,151.1,0.19,0.0,0.9,13.11
2024-11-01 17:00:00,14.47,91.49,1.23,197.63,0.29,0.0,0.94,13.04
2024-11-01 18:00:00,14.44,91.71,0.0,169.38,0.2,0.0,0.9,12.93
2024-11-01 19:00:00,14.39,93.01,0.0,121.76,0.08,0.0,0.72,12.89
2024-11-01 20:00:00,14.42,93.27,0.0,106.13,0.15,0.0,0.68,12.89
2024-11-01 21:00:00,14.25,93.87,0.0,88.7,0.19,0.01,0.87,12.79
2024-11-01 22:00:00,14.17,94.75,0.0,218.23,0.15,0.01,0.78,12.71
2024-11-01 23:00:00,14.46,93.77,0.0,190.87,0.15,0.0,0.63,12.71
2024-11-02 00:00:00,14.49,94.47,0.0,228.05,0.12,0.0,0.63,12.71
2024-11-02 01:00:00,14.46,95.25,0.0,211.95,0.07,0.0,0.51,12.71
2024-11-02 02:00:00,14.5,95.98,0.0,139.68,0.18,0.0,0.68,12.71
2024-11-02 03:00:00,14.57,96.38,0.0,261.17,0.08,0.0,0.52,12.71
2024-11-02 04:00:00,14.63,96.67,0.0,305.32,0.01,0.0,0.21,12.71
2024-11-02 05:00:00,14.65,96.93,0.0,338.0,0.0,0.0,0.09,12.71
2024-11-02 06:00:00,14.68,97.21,0.04,331.6,0.0,0.0,0.08,12.71
2024-11-02 07:00:00,14.91,96.95,15.93,306.0,0.0,0.0,0.05,12.78
2024-11-02 08:00:00,16.07,92.8,117.65,270.1,0.04,0.0,0.39,13.51
2024-11-02 09:00:00,17.69,85.47,154.68,222.2,0.08,0.0,0.48,13.74
2024-11-02 10:00:00,19.32,77.42,225.47,166.8,0.04,0.0,0.45,14.08
2024-11-02 11:00:00,22.32,66.12,534.99,192.23,0.21,0.0,0.93,14.26
2024-11-02 12:00:00,24.7,55.85,593.77,194.48,0.3,0.0,0.96,14.22
2024-11-02 13:00:00,25.61,50.21,487.54,188.63,0.39,0.0,1.11,14.13
2024-11-02 14:00:00,25.58,48.69,466.91,184.22,0.57,0.0,1.29,14.13
2024-11-02 15:00:00,24.68,48.24,286.77,140.65,0.87,0.0,2.02,14.15
2024-11-02 16:00:00,22.85,53.87,39.87,86.0,0.39,0.0,1.12,13.98
2024-11-02 17:00:00,20.94,64.43,8.78,110.6,0.03,0.0,0.42,13.2
2024-11-02 18:00:00,19.11,73.49,0.0,81.37,0.03,0.0,0.32,13.01
2024-11-02 19:00:00,17.43,81.5,0.0,68.0,0.0,0.0,0.08,12.98
2024-11-02 20:00:00,16.8,83.81,0.0,68.0,0.03,0.0,0.25,12.97
2024-11-02 20:00:00,16.85,82.92,0.0,102.07,0.06,0.0,0.48,12.94
2024-11-02 21:00:00,16.49,84.6,0.0,220.55,0.0,0.0,0.1,12.93
2024-11-02 21:00:00,16.62,83.78,0.0,220.34,0.0,0.0,0.13,12.93
2024-11-02 22:00:00,15.94,87.5,0.0,221.0,0.0,0.0,0.0,12.93
2024-11-02 22:00:00,15.59,88.55,0.0,221.0,0.0,0.0,0.1,12.93
2024-11-02 23:00:00,15.2,88.83,0.0,214.9,0.04,0.0,0.34,12.93
2024-11-03 00:00:00,15.09,86.95,0.0,275.0,0.03,0.0,0.45,12.91
2024-11-03 01:00:00,14.25,90.34,0.0,120.87,0.01,0.0,0.2,12.89
2024-11-03 02:00:00,13.93,90.6,0.0,91.0,0.02,0.0,0.22,12.89
