Timestamp,TEMP,HUMI,IRRAD,WIND_DIR,WIND,RAIN,WIND_MAX,VOLTAGE
2026-03-01 00:00:00,7.86,67.41,0.0,97.0,0.04,0.0,0.46,12.89
2026-03-01 01:00:00,8.05,66.08,0.0,159.52,0.3,0.0,0.94,12.89
2026-03-01 02:00:00,7.41,67.52,0.0,52.3,0.13,0.0,0.72,12.89
2026-03-01 03:00:00,6.93,69.31,0.0,59.57,0.37,0.0,1.1,12.89
2026-03-01 04:00:00,7.14,68.52,0.0,73.0,0.09,0.0,0.68,12.84
2026-03-01 05:00:00,7.04,66.61,0.0,132.32,0.17,0.0,0.9,12.72
2026-03-01 06:00:00,7.14,63.2,0.09,172.62,0.5,0.0,1.32,12.71
2026-03-01 07:00:00,6.77,64.11,26.7,96.22,0.14,0.0,0.74,12.9
2026-03-01 08:00:00,7.74,62.48,139.78,71.98,0.22,0.0,0.94,14.07
2026-03-01 09:00:00,10.58,54.5,360.08,121.57,0.44,0.0,1.26,14.51
2026-03-01 10:00:00,12.77,47.89,512.05,187.78,0.25,0.0,0.88,14.49
2026-03-01 11:00:00,13.91,45.77,615.98,162.92,0.31,0.0,1.01,14.43
2026-03-01 12:00:00,15.73,41.99,590.89,180.33,0.37,0.0,1.1,14.4
2026-03-01 12:00:00,14.91,43.66,651.84,152.45,0.57,0.0,1.39,14.43
2026-03-01 13:00:00,16.35,39.93,419.73,188.07,0.35,0.0,1.05,14.36
2026-03-01 14:00:00,17.23,37.4,499.24,181.2,0.44,0.0,1.26,14.36
2026-03-01 14:00:00,16.34,39.34,437.59,195.91,0.53,0.0,1.39,14.37
2026-03-01 15:00:00,17.95,36.15,434.64,202.06,0.48,0.0,1.22,14.36
2026-03-01 15:00:00,17.9,36.44,419.26,205.85,0.51,0.0,1.26,14.36
2026-03-01 16:00:00,16.55,41.31,203.08,196.45,0.5,0.0,1.3,14.36
2026-03-01 17:00:00,14.57,46.36,85.23,178.81,0.71,0.0,1.71,14.19
2026-03-01 17:00:00,14.33,47.09,61.55,154.27,0.6,0.0,1.58,13.98
2026-03-01 18:00:00,13.01,50.78,3.88,115.7,0.77,0.0,1.83,13.01
2026-03-01 18:00:00,13.28,50.03,7.51,114.74,0.63,0.0,1.6,13.11
2026-03-01 19:00:00,12.4,52.3,0.0,142.23,0.67,0.0,1.63,12.93
2026-03-01 19:00:00,12.24,52.48,0.0,175.03,0.76,0.0,1.83,12.93
2026-03-01 20:00:00,11.33,54.39,0.0,177.95,1.04,0.0,2.2,12.9
2026-03-01 20:00:00,11.68,53.44,0.0,97.9,1.09,0.0,2.36,12.91
2026-03-01 21:00:00,10.57,56.7,0.0,205.3,1.01,0.0,2.22,12.89
2026-03-01 22:00:00,10.19,57.81,0.0,317.0,1.46,0.0,2.7,12.89
2026-03-01 22:00:00,9.98,58.16,0.0,227.75,1.03,0.0,2.24,12.89
2026-03-01 23:00:00,9.62,58.53,0.0,205.26,0.91,0.0,1.97,12.89
2026-03-01 23:00:00,9.55,58.34,0.0,167.82,0.79,0.0,1.83,12.89
2026-03-02 00:00:00,9.37,57.28,0.0,143.62,0.47,0.0,1.3,12.89
2026-03-02 01:00:00,9.04,60.21,0.0,158.72,0.64,0.0,1.45,12.89
2026-03-02 02:00:00,8.34,68.08,0.0,200.28,0.37,0.01,1.06,12.89
2026-03-02 03:00:00,7.42,76.91,0.0,197.93,0.44,0.01,1.18,12.89
2026-03-02 04:00:00,6.95,79.64,0.0,172.27,0.71,0.02,1.62,12.8
2026-03-02 05:00:00,7.01,79.41,0.0,216.0,1.01,0.01,2.15,12.71
2026-03-02 06:00:00,7.02,79.91,0.0,192.07,0.99,0.01,2.17,12.71
2026-03-02 07:00:00,7.15,79.91,3.76,186.77,0.8,0.02,1.92,12.71
2026-03-02 08:00:00,7.08,82.22,13.18,157.95,0.62,0.04,1.47,12.73
2026-03-02 09:00:00,7.14,84.26,47.75,150.45,0.57,0.02,1.44,13.03
2026-03-02 10:00:00,7.81,79.23,87.64,171.02,1.0,0.01,2.24,13.46
2026-03-02 11:00:00,7.92,78.42,108.57,230.17,1.47,0.01,3.03,13.72
2026-03-02 11:00:00,7.95,78.52,114.26,221.65,1.44,0.01,3.06,13.75
2026-03-02 12:00:00,8.3,78.19,185.22,195.77,1.43,0.01,2.86,14.46
2026-03-02 13:00:00,8.67,76.6,163.19,179.39,1.42,0.0,3.19,14.63
2026-03-02 13:00:00,8.66,76.6,161.48,181.1,1.44,0.0,3.2,14.63
2026-03-02 14:00:00,8.56,76.32,87.9,162.72,1.19,0.01,2.53,14.26
2026-03-02 14:00:00,8.58,76.24,94.29,169.2,1.28,0.0,2.72,14.3
2026-03-02 15:00:00,8.22,78.88,41.42,184.7,0.74,0.03,1.76,13.8
2026-03-02 16:00:00,7.97,80.3,43.52,201.27,1.02,0.05,2.21,13.79
